,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,_metric/h_train_loss,_metric/r_train_loss,_metric/sum_train_loss,_metric/h_val_loss,_metric/r_val_loss,_metric/sum_val_loss,_metric/total_params,_metric/weighted_val_loss,config/adam_beta,config/batch_size,config/beta,config/checkpoint_dir,config/data_dir,config/delta,config/first_channels,config/lr,config/max_channels,config/n_convs,config/n_depthwise,config/num_epochs,config/upsampling_mode,logdir
52,636.6769208908081,True,True,,,1,e9634843,3b4b5c9d232343eca14fe203e335aedd,2023-03-26_08-58-55,1679835535,636.6769208908081,3757150,Roybatti,128.186.93.54,636.6769208908081,0,1,0.002596378326416,0.0048338818859246,0.0026265177509562,0.0074603996546051,0.0042114366777986,0.0025974015025823,0.0068088381918774,519692,0.0896110622993199,0.9617218160702914,64,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.45808945878221036,128,0.0002525545207502787,1024,1,6,30,bilinear,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_e9634843_71_adam_beta=0.9617,batch_size=64,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_08-48-17"
53,1533.0583004951477,True,True,,,3,464946c9,450768e1cf914273a304248a496959bb,2023-03-26_10-15-23,1679840123,4584.683855056763,3771415,Roybatti,128.186.93.54,4584.683855056763,0,3,0.0026295185089111,0.0017659879540661,0.0008760843035842,0.002642072268402,0.0017690693109917,0.0008703434967796,0.0026394128194807,1442828,0.0374324578131438,0.973979791571804,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.23780982297856507,64,1.1534069156709644e-05,512,3,4,30,bicubic,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_464946c9_73_adam_beta=0.9740,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_08-58-57"
54,237.18677639961243,True,True,,,1,7ba9f1ea,973f610b56974e71a4bead3ccb4d1803,2023-03-26_10-19-24,1679840364,237.18677639961243,3850647,Roybatti,128.186.93.54,237.18677639961243,0,1,0.0026211738586425,0.0134515097573163,0.0073224863767462,0.020773996203895,0.0120671361340755,0.0063544049501803,0.0184215411683507,30092,0.1899632021213948,0.951927700753384,32,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.9059219097234175,16,5.773824367705903e-05,256,2,5,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_7ba9f1ea_75_adam_beta=0.9519,batch_size=32,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_10-15-25"
55,4355.90446138382,True,True,,,1,7ef7bc99,5fe54cb7723842bcb3918cfa5a05b2fa,2023-03-26_11-32-04,1679844724,4355.90446138382,3856863,Roybatti,128.186.93.54,4355.90446138382,0,1,0.00248384475708,0.016139227573687,0.0085229265662598,0.0246621542091939,0.0153569817936465,0.0080171430243737,0.0233741249058407,2018188,0.3393387817784863,0.9710910107582899,16,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.2980968188963565,64,2.4539089887466502e-05,256,5,2,30,bicubic,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_7ef7bc99_77_adam_beta=0.9711,batch_size=16,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_10-19-26"
56,289.90943479537964,True,True,,,3,64eef319,8352327bd11347bb8e8ab5b56cc250ad,2023-03-26_11-46-42,1679845602,873.9780349731445,3928458,Roybatti,128.186.93.54,873.9780349731445,0,3,0.0023932456970214,0.0005702951010718,0.0004226943273068,0.0009929894323705,0.0005484522805844,0.0004213654748811,0.0009698177575945,22098956,0.0164006277890101,0.9807046658127,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.1001369214596374,32,0.00038932595589705334,4096,6,7,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_64eef319_79_adam_beta=0.9807,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_11-32-06"
57,234.01417899131772,True,True,,,2,8d7d2d30,64882ee52fc8403f95369c07960a73da,2023-03-26_11-54-35,1679846075,469.3630180358887,3950402,Roybatti,128.186.93.54,469.3630180358887,0,2,0.0026500225067138,0.0024929471758923,0.0013848444246525,0.0038777916118287,0.0023672373850204,0.0013551941970298,0.0037224315901404,66460,0.0413352038573514,0.9914447268147906,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.4908831126504264,16,0.0001680324405176678,512,3,1,30,bilinear,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_8d7d2d30_81_adam_beta=0.9914,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_11-46-44"
58,2340.6079099178314,True,True,,,3,14d907d7,811b7818fb874d0dbaec8cdb3806aeae,2023-03-26_13-50-34,1679853034,6955.429825544357,3962724,Roybatti,128.186.93.54,6955.429825544357,0,3,0.0024929046630859,0.0012946499022718,0.0012678632466115,0.0025625131512253,0.0012927475317346,0.0013542513038713,0.0026469988381607,940556,0.0364074214825736,0.9665928660853949,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.4411449548104122,64,0.002133481158834892,128,5,3,30,bicubic,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_14d907d7_83_adam_beta=0.9666,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_11-54-37"
59,771.3425269126892,True,True,,,1,6803fd73,d591867085704d0fb2355825abedef1b,2023-03-26_14-03-30,1679853810,771.3425269126892,4079863,Roybatti,128.186.93.54,771.3425269126892,0,1,0.0024571418762207,0.004573156213906,0.0023533280505603,0.00692648428251,0.0041809437575272,0.0023126142896377,0.0064935580667515,101054476,0.1196838745535513,0.996237002612322,64,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.3706202930840472,128,0.0001381003055449228,2048,6,5,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_6803fd73_85_adam_beta=0.9962,batch_size=64,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_13-50-37"
60,1994.8545758724213,True,True,,,3,01a584c6,8d2aaddb0719413f83f01974da7f085c,2023-03-26_15-46-17,1679859977,6163.144204854965,4094924,Roybatti,128.186.93.54,6163.144204854965,0,3,0.0026965141296386,0.0009462019274521,0.000952716858038,0.001898918789695,0.0009455576135384,0.0011824204758148,0.0021279781042562,1398284,0.0301124996257079,0.9882536304483307,128,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.26754225457485714,16,0.008859072770061333,256,5,6,30,bicubic,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_01a584c6_87_adam_beta=0.9883,batch_size=128,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data__2023-03-26_14-03-32"
61,525.2308330535889,True,True,,,1,94d44ddb,e1b099e3be8149fa920c3cf9f225003c,2023-03-26_15-55-05,1679860505,525.2308330535889,5612,Roybatti,128.186.93.54,525.2308330535889,0,1,0.0026228427886962,0.0131084371035074,0.0111121587151352,0.0242205958489282,0.0110186256965625,0.0115539879388132,0.0225726136705039,4363788,0.3451093281152759,0.9365536241359884,16,1,/home/roybatti/Desktop/tiktoks/tiktoksteg/checkpoints,/home/roybatti/Desktop/tiktoks/tiktoksteg/data,0.5123858483654734,64,0.0007103656230658456,256,7,5,30,nearest,"/home/roybatti/ray_results/train_2023-03-23_20-47-42/train_94d44ddb_89_adam_beta=0.9366,batch_size=16,beta=1,checkpoint_dir=home_roybatti_Desktop_tiktoks_tiktoksteg_checkpoints,data_d_2023-03-26_15-46-18"
